ticker,strategy,strat_name,return_pct,bh_return,alpha,final_val,trades,won,lost,win_rate,avg_win,avg_loss,rr_ratio,profit_factor,sharpe,max_dd
EPAM,rsi_bb,RSI + Bollinger Band,-2.22,-54.05,51.83,9777.91,4,2,2,50.0,140.97,-108.59,1.3,1.3,-3.77,4.34
EPAM,ema_cross,EMA 21/50 Cross,-4.96,-54.05,49.09,9504.48,6,1,5,16.7,65.78,-112.26,0.59,0.12,-9.18,5.61
EPAM,macd_signal,MACD Signal Flip,0.3,-54.05,54.35,10030.44,4,1,3,25.0,139.14,-36.24,3.84,1.28,-6.73,3.14
EPAM,breakout,20-Day Breakout,-2.75,-54.05,51.29,9724.53,6,2,4,33.3,176.99,-157.36,1.12,0.56,-2.71,4.12
FICO,rsi_bb,RSI + Bollinger Band,0.0,-22.6,22.6,10000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FICO,ema_cross,EMA 21/50 Cross,0.0,-22.6,22.6,10000.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FICO,macd_signal,MACD Signal Flip,2.13,-22.6,24.73,10213.05,4,2,2,50.0,138.81,-32.29,4.3,4.3,-4.27,1.05
FICO,breakout,20-Day Breakout,2.16,-22.6,24.76,10215.75,4,2,2,50.0,139.04,-31.16,4.46,4.46,-3.41,1.78
GEN,rsi_bb,RSI + Bollinger Band,-4.68,-11.56,6.88,9531.75,4,2,2,50.0,161.49,-78.32,2.06,2.06,-1.87,7.42
GEN,ema_cross,EMA 21/50 Cross,-1.49,-11.56,10.07,9851.12,2,0,2,0.0,0.0,-74.44,0.0,0.0,-13.04,3.26
GEN,macd_signal,MACD Signal Flip,-3.21,-11.56,8.35,9678.65,14,5,9,35.7,38.17,-56.91,0.67,0.37,-5.38,3.45
GEN,breakout,20-Day Breakout,-0.45,-11.56,11.11,9954.6,5,3,2,60.0,66.19,-121.99,0.54,0.81,-34.66,3.15
VZ,rsi_bb,RSI + Bollinger Band,0.08,30.61,-30.54,10007.8,3,2,1,66.7,11.27,-14.74,0.76,1.53,-16.05,2.18
VZ,ema_cross,EMA 21/50 Cross,-1.08,30.61,-31.7,9891.63,3,1,2,33.3,80.18,-153.46,0.52,0.26,-3.77,3.95
VZ,macd_signal,MACD Signal Flip,-5.68,30.61,-36.29,9431.9,13,2,11,15.4,148.99,-78.73,1.89,0.34,-2.74,7.61
VZ,breakout,20-Day Breakout,-1.49,30.61,-32.11,9850.66,5,1,4,20.0,266.36,-103.92,2.56,0.64,-2.24,5.2
AON,rsi_bb,RSI + Bollinger Band,0.77,1.75,-0.98,10076.63,5,3,2,60.0,57.63,-48.13,1.2,1.8,-7.85,3.13
AON,ema_cross,EMA 21/50 Cross,4.2,1.75,2.45,10420.49,4,1,3,25.0,684.92,-88.14,7.77,2.59,-0.92,5.9
AON,macd_signal,MACD Signal Flip,-0.68,1.75,-2.44,9931.59,11,5,6,45.5,91.17,-87.38,1.04,0.87,-1.83,4.41
AON,breakout,20-Day Breakout,6.19,1.75,4.44,10618.67,4,2,2,50.0,391.09,-81.76,4.78,4.78,-0.89,3.69
CTSH,rsi_bb,RSI + Bollinger Band,-1.92,-15.15,13.23,9807.69,5,3,2,60.0,104.01,-95.8,1.09,1.63,-3.01,5.24
CTSH,ema_cross,EMA 21/50 Cross,0.84,-15.15,15.99,10083.76,4,1,3,25.0,338.77,-85.0,3.99,1.33,-1.79,6.88
CTSH,macd_signal,MACD Signal Flip,0.41,-15.15,15.56,10040.65,7,3,4,42.9,130.16,-87.45,1.49,1.12,-8.91,4.51
CTSH,breakout,20-Day Breakout,0.98,-15.15,16.13,10098.34,6,3,3,50.0,115.07,-82.29,1.4,1.4,-2.19,2.51
CVX,rsi_bb,RSI + Bollinger Band,4.64,26.98,-22.34,10463.98,5,5,0,100.0,92.8,0.0,0.0,1.0,-2.36,1.46
CVX,ema_cross,EMA 21/50 Cross,0.01,26.98,-26.97,10000.88,4,1,3,25.0,79.54,-168.48,0.47,0.16,-1.54,7.99
CVX,macd_signal,MACD Signal Flip,-5.24,26.98,-32.21,9476.11,15,3,12,20.0,116.16,-72.7,1.6,0.4,-3.46,5.91
CVX,breakout,20-Day Breakout,4.84,26.98,-22.13,10484.39,5,3,2,60.0,275.01,-170.32,1.61,2.42,-2.38,3.08
